State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
NY,Saratoga County,Distribution of all-cause deaths (%),1790,103,0.971,0.013,,0.006,,0.007,
NY,Saratoga County,Distribution of COVID-19 deaths (%),1790,103,0.99,,,,,,
NY,Saratoga County,Distribution of population (%),1790,103,0.901,0.018,0.002,0.028,0,0.034,0.017
NY,Schenectady County,Distribution of all-cause deaths (%),1923,132,0.863,0.073,,0.022,,0.033,0.007
NY,Schenectady County,Distribution of COVID-19 deaths (%),1923,132,0.864,,,,,,
NY,Schenectady County,Distribution of population (%),1923,132,0.724,0.112,0.005,0.049,0.002,0.074,0.034
NY,Steuben County,Distribution of all-cause deaths (%),1160,135,0.978,0.013,,,,,
NY,Steuben County,Distribution of COVID-19 deaths (%),1160,135,0.985,,,,,,
NY,Steuben County,Distribution of population (%),1160,135,0.934,0.016,0.002,0.016,0,0.017,0.015
NY,Suffolk County,Distribution of all-cause deaths (%),17753,3776,0.81,0.072,0.001,0.02,,0.092,0.005
NY,Suffolk County,Distribution of COVID-19 deaths (%),17753,3776,0.698,0.093,,0.025,,0.176,0.007
NY,Suffolk County,Distribution of population (%),17753,3776,0.666,0.075,0.002,0.041,0,0.202,0.014
NY,Ulster County,Distribution of all-cause deaths (%),1662,151,0.902,0.05,,,,0.036,0.006
NY,Ulster County,Distribution of COVID-19 deaths (%),1662,151,0.901,,,,,,
NY,Ulster County,Distribution of population (%),1662,151,0.788,0.06,0.002,0.02,0,0.106,0.023
NY,Westchester County,Distribution of all-cause deaths (%),10240,2498,0.686,0.148,,0.027,,0.134,0.005
NY,Westchester County,Distribution of COVID-19 deaths (%),10240,2498,0.584,0.163,,0.032,,0.216,0.005
NY,Westchester County,Distribution of population (%),10240,2498,0.526,0.138,0.001,0.063,0,0.255,0.016
OH,Allen County,Distribution of all-cause deaths (%),1869,326,0.901,0.08,,,,0.011,
OH,Allen County,Distribution of COVID-19 deaths (%),1869,326,0.905,0.067,,,,,
OH,Allen County,Distribution of population (%),1869,326,0.806,0.122,0.002,0.008,0,0.033,0.029
OH,Ashtabula County,Distribution of all-cause deaths (%),1203,137,0.952,0.032,,,,0.012,
OH,Ashtabula County,Distribution of COVID-19 deaths (%),1203,137,0.942,,,,,,
OH,Ashtabula County,Distribution of population (%),1203,137,0.892,0.035,0.002,0.005,0,0.044,0.021
OH,Butler County,Distribution of all-cause deaths (%),3934,441,0.881,0.093,,0.015,,0.008,
OH,Butler County,Distribution of COVID-19 deaths (%),3934,441,0.828,0.127,,0.025,,,
OH,Butler County,Distribution of population (%),3934,441,0.798,0.088,0.002,0.038,0.001,0.05,0.024
OH,Clark County,Distribution of all-cause deaths (%),2018,224,0.894,0.093,,,,0.005,
OH,Clark County,Distribution of COVID-19 deaths (%),2018,224,0.875,0.116,,,,,
OH,Clark County,Distribution of population (%),2018,224,0.838,0.087,0.003,0.007,0.001,0.036,0.028
OH,Clermont County,Distribution of all-cause deaths (%),1462,107,0.968,0.02,,,,,
OH,Clermont County,Distribution of COVID-19 deaths (%),1462,107,0.953,,,,,,
OH,Clermont County,Distribution of population (%),1462,107,0.932,0.016,0.002,0.013,0,0.021,0.015
OH,Columbiana County,Distribution of all-cause deaths (%),1291,166,0.988,0.009,,,,,
OH,Columbiana County,Distribution of COVID-19 deaths (%),1291,166,0.982,,,,,,
OH,Columbiana County,Distribution of population (%),1291,166,0.937,0.023,0.002,0.003,0,0.019,0.016
OH,Cuyahoga County,Distribution of all-cause deaths (%),20690,2346,0.707,0.26,0.001,0.009,,0.022,0.001
OH,Cuyahoga County,Distribution of COVID-19 deaths (%),20690,2346,0.729,0.233,,0.01,,0.027,
OH,Cuyahoga County,Distribution of population (%),20690,2346,0.586,0.297,0.002,0.033,0,0.063,0.02
OH,Erie County,Distribution of all-cause deaths (%),1372,177,0.912,0.072,,,,0.014,
OH,Erie County,Distribution of COVID-19 deaths (%),1372,177,0.876,0.085,,,,,
OH,Erie County,Distribution of population (%),1372,177,0.83,0.086,0.002,0.007,0,0.045,0.029
OH,Fairfield County,Distribution of all-cause deaths (%),1688,160,0.958,0.031,,0.007,,,
OH,Fairfield County,Distribution of COVID-19 deaths (%),1688,160,0.956,,,,,,
OH,Fairfield County,Distribution of population (%),1688,160,0.849,0.085,0.002,0.019,0,0.024,0.021
OH,Franklin County,Distribution of all-cause deaths (%),16877,1985,0.772,0.192,0.001,0.018,,0.013,0.004
OH,Franklin County,Distribution of COVID-19 deaths (%),16877,1985,0.749,0.192,,0.029,,0.026,
OH,Franklin County,Distribution of population (%),16877,1985,0.621,0.232,0.002,0.057,0,0.058,0.031
OH,Geauga County,Distribution of all-cause deaths (%),1101,158,0.979,0.015,,,,,
OH,Geauga County,Distribution of COVID-19 deaths (%),1101,158,0.987,,,,,,
OH,Geauga County,Distribution of population (%),1101,158,0.954,0.012,0.001,0.007,0,0.016,0.01
OH,Greene County,Distribution of all-cause deaths (%),1558,204,0.924,0.052,,0.01,,0.008,
OH,Greene County,Distribution of COVID-19 deaths (%),1558,204,0.917,0.049,,,,,
OH,Greene County,Distribution of population (%),1558,204,0.836,0.071,0.003,0.031,0.001,0.03,0.029
OH,Hamilton County,Distribution of all-cause deaths (%),12748,1407,0.778,0.203,0.001,0.009,,0.007,0.002
OH,Hamilton County,Distribution of COVID-19 deaths (%),12748,1407,0.795,0.186,,0.01,,0.007,
OH,Hamilton County,Distribution of population (%),12748,1407,0.648,0.262,0.001,0.029,0.001,0.036,0.024
OH,Hancock County,Distribution of all-cause deaths (%),1167,174,0.959,0.017,,,,0.018,
OH,Hancock County,Distribution of COVID-19 deaths (%),1167,174,0.948,,,,,,
OH,Hancock County,Distribution of population (%),1167,174,0.886,0.017,0.002,0.019,0,0.057,0.017
OH,Jefferson County,Distribution of all-cause deaths (%),997,107,0.923,0.073,,,,,
OH,Jefferson County,Distribution of COVID-19 deaths (%),997,107,0.916,,,,,,
OH,Jefferson County,Distribution of population (%),997,107,0.901,0.054,0.002,0.005,0,0.016,0.022
OH,Lake County,Distribution of all-cause deaths (%),2466,245,0.926,0.057,,0.005,,0.009,
OH,Lake County,Distribution of COVID-19 deaths (%),2466,245,0.89,0.073,,,,,
OH,Lake County,Distribution of population (%),2466,245,0.875,0.045,0.001,0.015,0,0.047,0.016
OH,Licking County,Distribution of all-cause deaths (%),1836,160,0.968,0.025,,,,,
OH,Licking County,Distribution of COVID-19 deaths (%),1836,160,0.956,,,,,,
OH,Licking County,Distribution of population (%),1836,160,0.89,0.041,0.003,0.023,0,0.021,0.023
OH,Lorain County,Distribution of all-cause deaths (%),3368,371,0.874,0.077,,0.003,,0.044,
OH,Lorain County,Distribution of COVID-19 deaths (%),3368,371,0.876,0.075,,,,0.038,
OH,Lorain County,Distribution of population (%),3368,371,0.777,0.078,0.002,0.013,0,0.104,0.026
OH,Lucas County,Distribution of all-cause deaths (%),7180,1007,0.794,0.166,,0.003,,0.033,0.003
OH,Lucas County,Distribution of COVID-19 deaths (%),7180,1007,0.795,0.146,,,,0.054,
OH,Lucas County,Distribution of population (%),7180,1007,0.682,0.196,0.002,0.017,0,0.074,0.029
OH,Mahoning County,Distribution of all-cause deaths (%),4562,653,0.842,0.13,,0.003,,0.022,0.003
OH,Mahoning County,Distribution of COVID-19 deaths (%),4562,653,0.859,0.116,,,,0.02,
OH,Mahoning County,Distribution of population (%),4562,653,0.754,0.15,0.002,0.009,0,0.065,0.02
OH,Marion County,Distribution of all-cause deaths (%),938,178,0.962,0.028,,,,,
OH,Marion County,Distribution of COVID-19 deaths (%),938,178,0.938,,,,,,
OH,Marion County,Distribution of population (%),938,178,0.881,0.063,0.002,0.006,0.001,0.028,0.02
OH,Medina County,Distribution of all-cause deaths (%),1543,134,0.977,0.012,,,,,
OH,Medina County,Distribution of COVID-19 deaths (%),1543,134,0.985,,,,,,
OH,Medina County,Distribution of population (%),1543,134,0.936,0.014,0.002,0.013,0,0.023,0.013
OH,Miami County,Distribution of all-cause deaths (%),1229,120,0.965,0.026,,,,,
OH,Miami County,Distribution of COVID-19 deaths (%),1229,120,0.967,,,,,,
OH,Miami County,Distribution of population (%),1229,120,0.918,0.024,0.002,0.017,0,0.019,0.02
OH,Montgomery County,Distribution of all-cause deaths (%),9878,1310,0.802,0.179,,0.007,,0.008,0.003
OH,Montgomery County,Distribution of COVID-19 deaths (%),9878,1310,0.802,0.176,,0.01,,0.01,
OH,Montgomery County,Distribution of population (%),9878,1310,0.703,0.212,0.002,0.023,0,0.033,0.027
OH,Muskingum County,Distribution of all-cause deaths (%),1439,160,0.965,0.028,,,,,
OH,Muskingum County,Distribution of COVID-19 deaths (%),1439,160,0.956,,,,,,
OH,Muskingum County,Distribution of population (%),1439,160,0.913,0.037,0.002,0.006,0,0.012,0.029
OH,Portage County,Distribution of all-cause deaths (%),1549,126,0.953,0.042,,,,,
OH,Portage County,Distribution of COVID-19 deaths (%),1549,126,0.944,,,,,,
OH,Portage County,Distribution of population (%),1549,126,0.892,0.047,0.002,0.02,0,0.02,0.02
OH,Richland County,Distribution of all-cause deaths (%),1811,191,0.923,0.066,,,,0.007,
OH,Richland County,Distribution of COVID-19 deaths (%),1811,191,0.937,0.052,,,,,
OH,Richland County,Distribution of population (%),1811,191,0.853,0.094,0.002,0.008,0,0.021,0.022
OH,Ross County,Distribution of all-cause deaths (%),1230,140,0.948,0.046,,,,,
OH,Ross County,Distribution of COVID-19 deaths (%),1230,140,0.957,,,,,,
OH,Ross County,Distribution of population (%),1230,140,0.896,0.055,0.003,0.005,0,0.014,0.026
OH,Scioto County,Distribution of all-cause deaths (%),1460,119,0.981,0.016,,,,,
OH,Scioto County,Distribution of COVID-19 deaths (%),1460,119,0.992,,,,,,
OH,Scioto County,Distribution of population (%),1460,119,0.932,0.026,0.005,0.004,0,0.014,0.019
OH,Stark County,Distribution of all-cause deaths (%),5907,892,0.92,0.069,,0.003,,0.005,0.002
OH,Stark County,Distribution of COVID-19 deaths (%),5907,892,0.934,0.055,,,,,
OH,Stark County,Distribution of population (%),5907,892,0.862,0.078,0.002,0.009,0,0.022,0.026
OH,Summit County,Distribution of all-cause deaths (%),7730,873,0.843,0.14,,0.009,,0.005,0.002
OH,Summit County,Distribution of COVID-19 deaths (%),7730,873,0.835,0.144,,0.013,,,
OH,Summit County,Distribution of population (%),7730,873,0.764,0.148,0.002,0.039,0,0.023,0.025
OH,Trumbull County,Distribution of all-cause deaths (%),2615,316,0.908,0.082,,,,0.005,
OH,Trumbull County,Distribution of COVID-19 deaths (%),2615,316,0.908,0.073,,,,,
OH,Trumbull County,Distribution of population (%),2615,316,0.868,0.084,0.002,0.005,0,0.019,0.021
OH,Tuscarawas County,Distribution of all-cause deaths (%),1404,221,0.985,0.009,,,,,
OH,Tuscarawas County,Distribution of COVID-19 deaths (%),1404,221,0.986,,,,,,
OH,Tuscarawas County,Distribution of population (%),1404,221,0.939,0.008,0.002,0.004,0.001,0.032,0.014
OH,Warren County,Distribution of all-cause deaths (%),2260,221,0.949,0.039,,0.006,,0.004,
OH,Warren County,Distribution of COVID-19 deaths (%),2260,221,0.937,0.059,,,,,
OH,Warren County,Distribution of population (%),2260,221,0.853,0.036,0.002,0.062,0.001,0.029,0.018
OH,Washington County,Distribution of all-cause deaths (%),1055,142,0.981,0.012,,,,,
OH,Washington County,Distribution of COVID-19 deaths (%),1055,142,0.979,,,,,,
OH,Washington County,Distribution of population (%),1055,142,0.949,0.013,0.003,0.007,0,0.012,0.017
OH,Wayne County,Distribution of all-cause deaths (%),1355,180,0.979,0.015,,,,,
OH,Wayne County,Distribution of COVID-19 deaths (%),1355,180,0.994,,,,,,
OH,Wayne County,Distribution of population (%),1355,180,0.935,0.016,0.002,0.011,0,0.021,0.016
OH,Wood County,Distribution of all-cause deaths (%),1430,123,0.957,0.016,,,,0.024,
OH,Wood County,Distribution of COVID-19 deaths (%),1430,123,0.935,,,,,,
OH,Wood County,Distribution of population (%),1430,123,0.88,0.026,0.002,0.018,0,0.057,0.017
OK,Cleveland County,Distribution of all-cause deaths (%),2440,332,0.867,0.032,0.042,0.011,,0.025,0.022
OK,Cleveland County,Distribution of COVID-19 deaths (%),2440,332,0.813,,0.069,,,0.054,
OK,Cleveland County,Distribution of population (%),2440,332,0.707,0.052,0.046,0.047,0.001,0.092,0.055
OK,Comanche County,Distribution of all-cause deaths (%),1367,151,0.71,0.129,0.07,0.012,0.007,0.059,0.012
OK,Comanche County,Distribution of COVID-19 deaths (%),1367,151,0.675,0.139,0.066,,,0.086,
OK,Comanche County,Distribution of population (%),1367,151,0.555,0.16,0.056,0.025,0.006,0.134,0.064
OK,Garfield County,Distribution of all-cause deaths (%),934,166,0.909,0.024,0.025,,,0.022,
OK,Garfield County,Distribution of COVID-19 deaths (%),934,166,0.855,,,,,,
OK,Garfield County,Distribution of population (%),934,166,0.704,0.028,0.022,0.011,0.036,0.127,0.071
OK,Muskogee County,Distribution of all-cause deaths (%),1172,157,0.705,0.107,0.147,,,0.016,0.022
OK,Muskogee County,Distribution of COVID-19 deaths (%),1172,157,0.732,0.083,0.134,,,,
OK,Muskogee County,Distribution of population (%),1172,157,0.554,0.105,0.184,0.006,0.001,0.066,0.084
OK,Oklahoma County,Distribution of all-cause deaths (%),12776,1701,0.754,0.117,0.044,0.014,0.002,0.053,0.017
OK,Oklahoma County,Distribution of COVID-19 deaths (%),12776,1701,0.688,0.105,0.064,0.022,,0.103,0.013
OK,Oklahoma County,Distribution of population (%),12776,1701,0.554,0.152,0.031,0.035,0.001,0.179,0.047
OK,Pottawatomie County,Distribution of all-cause deaths (%),991,109,0.845,0.028,0.092,,,0.011,0.017
OK,Pottawatomie County,Distribution of COVID-19 deaths (%),991,109,0.78,,0.147,,,,
OK,Pottawatomie County,Distribution of population (%),991,109,0.718,0.03,0.126,0.007,0.001,0.054,0.065
OK,Tulsa County,Distribution of all-cause deaths (%),10434,1467,0.762,0.087,0.08,0.01,,0.029,0.032
OK,Tulsa County,Distribution of COVID-19 deaths (%),10434,1467,0.729,0.063,0.11,0.019,,0.048,0.029
OK,Tulsa County,Distribution of population (%),10434,1467,0.611,0.103,0.06,0.035,0.001,0.133,0.057
OK,Washington County,Distribution of all-cause deaths (%),892,131,0.876,0.026,0.031,,,0.019,0.045
OK,Washington County,Distribution of COVID-19 deaths (%),892,131,0.824,,,,,,
OK,Washington County,Distribution of population (%),892,131,0.722,0.025,0.101,0.023,0.001,0.063,0.066
OR,Clackamas County,Distribution of all-cause deaths (%),3913,149,0.927,0.009,0.003,0.023,,0.026,0.01
OR,Clackamas County,Distribution of COVID-19 deaths (%),3913,149,0.859,,,,,0.067,
OR,Clackamas County,Distribution of population (%),3913,149,0.809,0.01,0.007,0.047,0.003,0.09,0.034
OR,Marion County,Distribution of all-cause deaths (%),3348,210,0.88,0.008,0.01,0.012,0.009,0.07,0.011
OR,Marion County,Distribution of COVID-19 deaths (%),3348,210,0.776,,,,,0.181,
OR,Marion County,Distribution of population (%),3348,210,0.641,0.011,0.01,0.022,0.009,0.27,0.036
OR,Multnomah County,Distribution of all-cause deaths (%),8191,595,0.815,0.056,0.009,0.043,0.006,0.052,0.02
OR,Multnomah County,Distribution of COVID-19 deaths (%),8191,595,0.703,0.05,,0.079,,0.143,
OR,Multnomah County,Distribution of population (%),8191,595,0.687,0.056,0.007,0.079,0.006,0.119,0.046
OR,Washington County,Distribution of all-cause deaths (%),4189,245,0.866,0.013,0.004,0.046,0.006,0.056,0.009
OR,Washington County,Distribution of COVID-19 deaths (%),4189,245,0.747,,,0.045,,0.147,
OR,Washington County,Distribution of population (%),4189,245,0.643,0.022,0.005,0.114,0.005,0.17,0.042
PA,Adams County,Distribution of all-cause deaths (%),1062,119,0.975,0.01,,,,,
PA,Adams County,Distribution of COVID-19 deaths (%),1062,119,0.992,,,,,,
PA,Adams County,Distribution of population (%),1062,119,0.887,0.016,0.002,0.008,0,0.073,0.013
PA,Allegheny County,Distribution of all-cause deaths (%),20609,2085,0.863,0.119,,0.008,,0.005,0.005
PA,Allegheny County,Distribution of COVID-19 deaths (%),20609,2085,0.874,0.111,,0.008,,,
PA,Allegheny County,Distribution of population (%),20609,2085,0.781,0.132,0.001,0.042,0,0.023,0.022
PA,Beaver County,Distribution of all-cause deaths (%),2366,284,0.926,0.068,,,,,
PA,Beaver County,Distribution of COVID-19 deaths (%),2366,284,0.901,0.092,,,,,
PA,Beaver County,Distribution of population (%),2366,284,0.891,0.063,0.001,0.006,0,0.018,0.021
PA,Berks County,Distribution of all-cause deaths (%),4915,770,0.869,0.033,,0.007,,0.089,0.002
PA,Berks County,Distribution of COVID-19 deaths (%),4915,770,0.804,0.035,,,,0.151,
PA,Berks County,Distribution of population (%),4915,770,0.703,0.043,0.001,0.014,0,0.224,0.014
PA,Blair County,Distribution of all-cause deaths (%),2512,344,0.975,0.018,,,,,
PA,Blair County,Distribution of COVID-19 deaths (%),2512,344,0.968,,,,,,
PA,Blair County,Distribution of population (%),2512,344,0.945,0.019,0.001,0.007,0,0.013,0.014
PA,Bradford County,Distribution of all-cause deaths (%),1095,116,0.986,,,,,,
PA,Bradford County,Distribution of COVID-19 deaths (%),1095,116,0.991,,,,,,
PA,Bradford County,Distribution of population (%),1095,116,0.957,0.007,0.002,0.006,0,0.016,0.012
PA,Bucks County,Distribution of all-cause deaths (%),7553,1013,0.927,0.035,,0.019,,0.018,
PA,Bucks County,Distribution of COVID-19 deaths (%),7553,1013,0.897,0.044,,0.023,,0.035,
PA,Bucks County,Distribution of population (%),7553,1013,0.833,0.041,0.001,0.052,0,0.057,0.016
PA,Butler County,Distribution of all-cause deaths (%),2504,362,0.986,0.006,,,,0.004,
PA,Butler County,Distribution of COVID-19 deaths (%),2504,362,0.981,,,,,,
PA,Butler County,Distribution of population (%),2504,362,0.944,0.013,0.001,0.014,0,0.016,0.011
PA,Cambria County,Distribution of all-cause deaths (%),2342,357,0.965,0.03,,,,,
PA,Cambria County,Distribution of COVID-19 deaths (%),2342,357,0.98,,,,,,
PA,Cambria County,Distribution of population (%),2342,357,0.925,0.035,0.001,0.005,0,0.018,0.016
PA,Centre County,Distribution of all-cause deaths (%),1345,210,0.973,0.012,,,,,
PA,Centre County,Distribution of COVID-19 deaths (%),1345,210,0.967,,,,,,
PA,Centre County,Distribution of population (%),1345,210,0.854,0.036,0.001,0.064,0.001,0.03,0.015
PA,Chester County,Distribution of all-cause deaths (%),5325,779,0.889,0.071,,0.014,,0.021,0.004
PA,Chester County,Distribution of COVID-19 deaths (%),5325,779,0.842,0.107,,0.017,,0.027,
PA,Chester County,Distribution of population (%),5325,779,0.787,0.057,0.001,0.061,0,0.076,0.017
PA,Clearfield County,Distribution of all-cause deaths (%),1163,112,0.985,,,,,,
PA,Clearfield County,Distribution of COVID-19 deaths (%),1163,112,0.955,,,,,,
PA,Clearfield County,Distribution of population (%),1163,112,0.928,0.026,0.001,0.006,0,0.031,0.008
PA,Crawford County,Distribution of all-cause deaths (%),1096,123,0.98,0.017,,,,,
PA,Crawford County,Distribution of COVID-19 deaths (%),1096,123,0.976,,,,,,
PA,Crawford County,Distribution of population (%),1096,123,0.946,0.019,0.002,0.006,0,0.014,0.012
PA,Cumberland County,Distribution of all-cause deaths (%),3369,533,0.936,0.035,,0.011,,0.015,
PA,Cumberland County,Distribution of COVID-19 deaths (%),3369,533,0.931,0.045,,,,,
PA,Cumberland County,Distribution of population (%),3369,533,0.846,0.042,0.001,0.047,0,0.043,0.02
PA,Dauphin County,Distribution of all-cause deaths (%),4331,578,0.8,0.132,,0.021,,0.04,0.004
PA,Dauphin County,Distribution of COVID-19 deaths (%),4331,578,0.737,0.168,,0.045,,0.045,
